Seismic Force–Resisting System ,"Response
Reduction
Factor, R","System
Overstrength
Factor, Ω","Deflection
Amplification
Factor, Cd","Seismic Design
Category (B) 
Height Limit (m)","Seismic Design
Category (C) 
Height Limit (m)","Seismic Design
Category (D) 
Height Limit (m)"
"Steel eccentrically braced
frames",8,2.5,4,,,
Special steel concentrically braced frames,7,2.5,5.5,,,
"Special reinforced concrete
shear walls",7,2.5,5.5,,,
"Ordinary reinforced
concrete shear walls
",6,2.5,5,,,
