Seismic Force–Resisting System ,"Response
Reduction
Factor, R","System
Overstrength
Factor, Ω","Deflection
Amplification
Factor, Cd","Seismic Design
Category (B) 
Height Limit (m)","Seismic Design
Category (C) 
Height Limit (m)","Seismic Design
Category (D) 
Height Limit (m)"
Special steel concentrically braced frames,6,2.5,5,,,11
"Special reinforced concrete shear walls
",6.5,2.5,5,,,50
"Ordinary reinforced
masonry shear walls",3,3,3,,50,
"Ordinary reinforced
concrete shear walls",5.5,2.5,4.5,,,
